action,identifier,name,family,size,qty,current_price_in_system,new_price,reason,priority
עדכון מחיר,351,פליירים 15/21 דו או חד צדדי 200 יחי,פליירים,21x15,200,232,125,ספק: 351 → ₪125 (עקומת A5 מאושרת),1
עדכון מחיר,417,פליירים 15/21 דו או חד צדדי 300 יחי,פליירים,21x15,300,348,170,ספק: 417 → ₪170 (עקומת A5 מאושרת),1
מחיקה,356,פליירים 15/21 דו או חד צדדי 400 יחי,פליירים,21x15,400,232,,המפרט מוחק את מק״ט 400 היחידות,1
עדכון מחיר,403,הדפסת תמונות על זכוכית בעיצוב אישי 100/70,זכוכית,100x70,1,800,675,יעד מאושר 650–700,2
עדכון מחיר,168,הדפסת תמונות על זכוכית בעיצוב אישי 120/80,זכוכית,120x80,1,850,1035,"שיא השוק — ₪1,035 מאושר",2
עדכון מחיר,676,הזמנת עבודה A5 עשר פנקסים מקור + 2 העתקים,חשבוניות,14.8x21,10,280,320,מחיר מבנה אחיד A5×10 = ₪320,2
הוספה,,הצעות מחיר A5 עשר פנקסים מקור + 2 העתקים,חשבוניות,14.8x21,10,,320,מוצר חדש מאושר — הצעות מחיר A5 × 10 פנקסים,2
עדכון מחיר,69,קבלת עוסק פטור A4 עשרה פנקסים,חשבוניות,21x29.7,10,442,418,מחיר מבנה אחיד A4×10 = ₪418,2
עדכון מחיר,64,תעודת משלוח A5 עשרה פנקסים,חשבוניות,14.8x21,10,323,320,מחיר מבנה אחיד A5×10 = ₪320,2
עדכון מחיר,809,"הדפסה על פוליגל 120X80 ס""מ",פוליגל,120x80,1,70,85,סולם מאושר (ביטול ₪70),2
עדכון מחיר,5,הדפסה על קנבס 30/30,קנבס,30x30,1,99,95,הוזלה מאושרת (סולם קנבס),2
עדכון מחיר,7,הדפסה על קנבס 30/45,קנבס,45x30,1,105,110,העלאה מאושרת (סולם קנבס),2
עדכון מחיר,119,הדפסה על קנבס 50/30,קנבס,50x30,1,110,115,העלאה מאושרת (סולם קנבס),2
עדכון מחיר,17,הדפסה על קנבס 60/180,קנבס,180x60,1,425,365,הוזלה מאושרת (סולם קנבס),2
עדכון מחיר,436,הדפסה על קנבס 70/100,קנבס,100x70,1,215,245,איחוד 100/70+70/100 = ₪245,2
עדכון מחיר,21,הדפסה על קנבס 80/120,קנבס,120x80,1,240,255,העלאה מאושרת (סולם קנבס),2
עדכון מחיר,22,הדפסה על קנבס 90/120,קנבס,120x90,1,261,280,העלאה מאושרת (סולם קנבס),2
עדכון מחיר,431,הדפסה על קנבס 90/90,קנבס,90x90,1,225,230,העלאה מאושרת (סולם קנבס),2
מחיקה,633,הדפסה על שמשונית 120/100,שמשונית,120x100,1,80,,כפילות 120/100 ב-₪80 — נשארת רק נקודת ה-₪105,2
עדכון מחיר,249,500 יחידות עטים,הדפסה על חפצים,,500,2146,1025,יעד כיווני: 2146 → 950–1100,3
עדכון מחיר,24,הדפסת תמונות על זכוכית בעיצוב אישי 20/30,זכוכית,30x20,1,130,160,נשמר,3
עדכון מחיר,54,הדפסה על ספל כוסות,כוסות,,1,70,52,יעד כיווני: 70 → 49–55,3
עדכון מחיר,670,כרטיס ביקור 1000 יחי,כרטיסי ביקור,,1000,276,210,יעד כיווני: 276 → ~210,3
עדכון מחיר,196,כרטיס ביקור 1000יח לקה סלקטיבית,כרטיסי ביקור,,1000,754,210,יעד כיווני: 276 → ~210,3
עדכון מחיר,72,כרטיסי ביקור 1000 יחי,כרטיסי ביקור,,1000,276,210,יעד כיווני: 276 → ~210,3
עדכון מחיר,154,כרטיסי ביקור 5000 יחי,כרטיסי ביקור,,5000,1102,850,יעד כיווני: ~850,3
עדכון מחיר,259,כרטיסיות 1000 יחי 8/8,כרטיסי ביקור,8x8,1000,522,210,יעד כיווני: 276 → ~210,3
עדכון מחיר,278,הדפסה על מגנט 1000 יחי 10/10,מגנטים,10x10,1000,920,650,יעד כיווני: 920 → 600–700,3
עדכון מחיר,683,הדפסת לוח שנה מגנט 10/10 ספירלה. 1000 יחידות,מגנטים,10x10,1000,2400,650,יעד כיווני: 920 → 600–700,3
עדכון מחיר,316,לוח שנה מגנט 1000 יחי 10/10,מגנטים,10x10,1000,2320,650,יעד כיווני: 920 → 600–700,3
עדכון מחיר,245,1000 יחידות מעטפות 23/11 הדפסה צבעונית,מעטפות,23x11,1000,650,470,יעד כיווני: 650 → ~470,3
עדכון מחיר,246,1000 יחידות מעטפות 25/18 הדפסה צבעונית,מעטפות,25x18,1000,750,470,יעד כיווני: 650 → ~470,3
עדכון מחיר,626,1000 יחידות מעטפות הדפסה צבעונית 34/24,מעטפות,34x24,1000,800,470,יעד כיווני: 650 → ~470,3
עדכון מחיר,474,"100 יחידות פולדר הדפסה צד אחד עם כיס 1 עם למינציה,",פולדר,,100,1000,700,יעד כיווני: 1000 → ~700,3
עדכון מחיר,302,פליירים 10/15 דו או חד צדדי 1000 יחי,פליירים,15x10,1000,348,330,בסיס 10/15 מאושר,3
עדכון מחיר,37,פליירים 15/21 דו או חד צדדי 1000 יחי,פליירים,21x15,1000,418,395,עקומת A5 מאושרת,3
עדכון מחיר,152,פליירים 15/21 דו או חד צדדי 2000 יחי,פליירים,21x15,2000,500,475,עקומת A5 מאושרת,3
עדכון מחיר,290,פליירים 15/21 דו או חד צדדי 3000 יחי,פליירים,21x15,3000,650,535,עקומת A5 מאושרת,3
עדכון מחיר,35,פליירים 15/21 דו או חד צדדי 5000 יחי,פליירים,21x15,5000,780,600,עקומת A5 מאושרת,3
עדכון מחיר,33,הדפסה רול אפ 200/120,רול אפ,200x120,1,466,215,נשמר,3
עדכון מחיר,234,הדפסה על שלט PVC 20/30,שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,655,"שלט PVC בגודל 20/30 ס""מ שילוט אסור לעשן",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,654,"שלט PVC בגודל 20/30 ס""מ שילוט המקום מצולם",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,653,"שלט PVC בגודל 20/30 ס""מ שילוט לנכים",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,652,"שלט PVC בגודל 20/30 ס""מ שלטי חניה",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,651,"שלט PVC בגודל 20/30 ס""מ שלטי כיבוי אש",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,650,"שלט PVC בגודל 20/30 ס""מ שלטי כלבים",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,649,"שלט PVC בגודל 20/30 ס""מ שלטים לאתרי בניין/קבלנים",שלטי PVC,30x20,1,35,30,סולם מאושר,3
עדכון מחיר,1091,"הדפסה על שמשונית 60/40 ס""מ",שמשונית,60x40,1,70,65,מינימום עד 1 מ״ר,3
